month,housing_observation_kind,moscow_secondary_rub_m2,spb_secondary_rub_m2,moscow_primary_rub_m2,spb_primary_rub_m2,new_york_housing_index,london_housing_gbp,paris_secondary_eur_m2,vienna_housing_index,hong_kong_housing_index,usd_rub,eur_rub,gbp_rub,jpy_rub,hkd_rub,sp500_close,imoex_close,nasdaq100_close,russell2000_close,dowjones_close,rtsi_close,dax_price_close,nikkei225_close,gold_usd_oz
2001-12,reported,20328.87,11435.81,21905.66,13263.16,160.57,180000.0,3220.0,93.0,73.8,30.14,26.49,43.63,0.2287,3.854605,1148.079956,237.63,1577.050049,488.5,10021.570312,260.05,3887.48,10542.620117,276.5
2002-01,interpolated,20765.01,11545.63,21748.16,13777.51,161.756667,182000.0,3226.67,94.9,74.1,30.685,26.5456,43.407,0.231027,3.94068,1130.199951,260.77,1550.170044,483.100006,9920.0,287.53,3843.41,9997.799805,282.3
2002-02,interpolated,21201.15,11655.45,21590.65,14291.86,162.943333,183000.0,3233.33,96.8,73.9,30.9274,26.712,43.8272,0.229995,3.959093,1106.72998,262.65,1359.219971,469.359985,10106.129883,290.75,3791.84,10587.830078,296.85
2002-03,reported,21637.29,11765.27,21433.15,14806.21,164.13,185000.0,3240.0,98.7,73.3,31.1192,27.1515,44.3915,0.234614,3.990286,1147.390015,302.96,1452.810059,506.459991,10403.94043,350.75,4059.42,11024.94043,301.4
2002-04,interpolated,22503.81,11944.97,21956.0,14887.12,166.603333,191000.0,3270.0,98.6,72.3,31.1963,28.1453,45.506,0.244045,4.006163,1076.920044,343.33,1277.069946,510.670013,9946.219727,386.1,3778.81,11492.540039,308.2
2002-05,interpolated,23370.33,12124.68,22478.84,14968.02,169.076667,196000.0,3300.0,98.5,72.4,31.3071,29.3254,45.8054,0.251989,4.005327,1067.140015,333.61,1208.339966,487.470001,9925.25,391.26,3577.48,11763.700195,326.6
2002-06,reported,24236.85,12304.38,23001.69,15048.93,171.55,199000.0,3330.0,98.4,71.9,31.4471,31.0792,48.0071,0.262914,3.994499,989.820007,304.18,1051.410034,462.640015,9243.259766,353.79,3245.86,10621.839844,318.5
2002-07,interpolated,24748.74,12511.65,23278.95,15283.58,174.636667,205000.0,3386.67,98.2,70.9,31.4401,30.8019,49.1189,0.261587,4.036629,911.619995,281.81,962.099976,392.420013,8736.589844,326.23,2739.51,9877.94043,304.65
2002-08,interpolated,25260.63,12718.91,23556.21,15518.24,177.723333,209000.0,3443.33,98.0,68.3,31.5673,31.0938,48.923,0.267429,4.054109,916.070007,292.23,942.380005,390.959991,8663.5,332.9,2749.01,9619.299805,312.8
2002-09,reported,25772.52,12926.18,23833.47,15752.89,180.81,211000.0,3500.0,97.8,66.7,31.6358,30.9082,49.2664,0.258505,4.01901,815.280029,289.96,832.52002,362.269989,7591.930176,334.06,2050.26,9383.290039,323.7
2002-10,interpolated,26118.27,13080.06,23999.4,16033.32,182.5,213000.0,3523.33,98.066667,65.4,31.7408,31.179,49.3855,0.257971,4.0528,885.76001,311.41,989.539978,373.5,8397.030273,358.65,2334.46,8640.480469,316.9
2002-11,interpolated,26464.01,13233.94,24165.32,16313.76,184.19,217000.0,3546.67,98.333333,65.1,31.8424,31.6736,49.3207,0.260087,4.091298,936.309998,321.4065,1116.099976,406.350006,8896.089844,361.15,2458.45,9215.55957,319.05
2002-12,reported,26809.76,13387.82,24331.25,16594.19,185.88,218000.0,3570.0,98.6,64.8,31.7844,33.1098,50.9377,0.266335,4.048593,879.820007,318.9063,984.369995,383.089996,8341.629883,359.07,2141.78,8578.950195,347.2
2003-01,interpolated,28121.13,14152.25,26237.18,17289.71,187.603333,222000.0,3600.0,99.133333,63.6,31.8222,34.4443,52.3762,0.268089,4.082868,855.700012,307.782,983.049988,372.170013,8053.810059,345.56,2028.67,8339.94043,367.5
2003-02,interpolated,29432.49,14916.67,28143.11,17985.23,189.326667,221000.0,3630.0,99.666667,63.4,31.5762,34.0549,50.0388,0.26979,4.049816,841.150024,341.5213,1009.73999,360.519989,7891.080078,383.23,1879.17,8363.040039,347.45
2003-03,reported,30743.86,15681.1,30049.04,18680.75,191.05,220000.0,3660.0,100.2,61.2,31.3805,33.5865,49.1168,0.261026,3.952515,848.179993,325.5564,1018.659973,364.540009,7992.129883,360.33,1788.0,7972.709961,334.85
2003-04,interpolated,31097.12,15821.71,30452.47,18908.53,193.53,223000.0,3703.33,99.9,60.5,31.1,34.1447,49.4863,0.259296,3.933268,916.919983,369.7732,1106.060059,398.679993,8480.089844,422.37,2150.62,7831.419922,336.75
2003-05,interpolated,31450.39,15962.31,30855.91,19136.31,196.01,225000.0,3746.67,99.6,59.7,30.709,36.4669,50.7159,0.259498,3.95541,963.590027,421.08,1197.890015,441.0,8850.259766,467.1,2159.29,8424.509766,361.4
2003-06,reported,31803.65,16102.92,31259.34,19364.09,198.49,224000.0,3790.0,99.3,59.3,30.3483,34.7124,50.3873,0.253727,3.895455,974.5,455.44,1201.689941,448.369995,8985.44043,503.51,2321.19,9083.110352,346.0
2003-07,interpolated,32348.84,16598.38,32008.58,19808.79,200.443333,229000.0,3833.33,99.0,58.4,30.2596,34.6291,49.1265,0.252353,3.923044,990.309998,430.3,1276.939941,476.019989,9233.799805,457.02,2513.83,9563.209961,354.75
2003-08,interpolated,32894.02,17093.84,32757.81,20253.48,202.396667,228000.0,3876.67,98.7,58.6,30.5036,33.2001,48.1316,0.260559,3.895719,1008.01001,484.0,1341.199951,497.420013,9415.820312,530.94,2511.46,10343.549805,375.6
2003-09,reported,33439.21,17589.3,33507.05,20698.18,204.35,228000.0,3920.0,98.4,60.9,30.6119,35.0751,50.779,0.275114,3.886265,995.969971,515.17,1303.699951,487.679993,9275.05957,566.62,2347.28,10219.049805,388.0
2003-10,interpolated,33853.1,18148.61,34125.89,21159.26,206.103333,230000.0,3943.33,97.466667,63.4,29.8584,34.8657,50.7294,0.276083,3.862936,1050.709961,468.85,1416.390015,528.219971,9801.120117,506.12,2635.01,10559.589844,386.25
2003-11,interpolated,34266.98,18707.91,34744.72,21620.35,207.856667,231000.0,3966.67,96.533333,64.3,29.7387,35.5021,51.0732,0.272033,3.812634,1058.199951,484.73,1424.25,546.51001,9782.459961,529.27,2699.84,10100.570312,398.35
2003-12,reported,34680.87,19267.22,35363.56,22081.43,209.61,232000.0,3990.0,95.6,65.4,29.4545,36.824,52.2847,0.275353,3.755673,1111.920044,514.71,1467.920044,556.909973,10453.919922,567.25,2857.84,10676.639648,416.25
2004-01,interpolated,36347.62,21010.84,37956.31,23322.02,211.306667,234000.0,4033.33,96.333333,69.5,28.4937,35.3635,51.7303,0.269062,3.672947,1131.130005,551.72,1493.079956,580.76001,10488.070312,611.1,2917.82,10783.610352,399.75
2004-02,interpolated,38014.36,22754.47,40549.07,24562.62,213.003333,235000.0,4076.67,97.066667,73.2,28.5156,35.5076,53.0789,0.261323,3.673871,1144.939941,591.09,1470.380005,585.559998,10583.919922,670.14,2889.0,11041.919922,395.85
2004-03,reported,39681.11,24498.09,43141.82,25803.21,214.7,237000.0,4120.0,97.8,78.1,28.4853,34.8005,51.9543,0.269517,3.65444,1126.209961,644.64,1438.410034,590.309998,10357.700195,752.66,2772.94,11715.389648,423.7
2004-04,interpolated,40123.53,25313.39,43659.55,26305.37,217.87,242000.0,4180.0,98.233333,79.4,28.8834,34.1431,51.0745,0.261767,3.664091,1107.300049,561.78,1401.359985,559.799988,10225.570312,631.11,2835.83,11761.790039,388.5
